logz logzerr logvol nlive logl logwt
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.559972438608633820e+04 -2.560571710037302910e+04
-2.560571710037302910e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.539947081253868237e+04 -2.540546602682537196e+04
-2.540546602682537196e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.418649668870693858e+04 -2.419249440299363050e+04
-2.419249440299363050e+04 5.718247322056571420e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -2.159663985869700628e+04 -2.160264007298369688e+04
-2.160264007298369688e+04 9.651968905085116148e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -2.147745688178739510e+04 -2.148345959607408804e+04
-2.148345959607408804e+04 5.642583679480412684e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -2.099848361483764165e+04 -2.100448882912433328e+04
-2.100448882912433328e+04 2.423248882666187001e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -2.031744086585436162e+04 -2.032344858014105193e+04
-2.032344858014105193e+04 5.059872645046865500e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -1.928529093566664960e+04 -1.929130114995334225e+04
-1.929130114995334225e+04 8.898584877173591394e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -1.915748026137062334e+04 -1.916349297565731467e+04
-1.916349297565731467e+04 7.880456910619989230e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -1.860556932908159797e+04 -1.861158454336828800e+04
-1.861158454336828800e+04 7.008539153046729098e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -1.843840507629963395e+04 -1.844442279058632630e+04
-1.844442279058632630e+04 1.994664562905837499e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -1.822827402714008349e+04 -1.823429424142677453e+04
-1.823429424142677453e+04 9.073256357698778629e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.818030835100021432e+04 -1.818633106528690405e+04
-1.818633106528690405e+04 7.048803091918112784e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.810813753456363338e+04 -1.811416274885032544e+04
-1.811416274885032544e+04 8.925587046578468176e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.785789137140526873e+04 -1.786391908569195948e+04
-1.786391908569195948e+04 1.474714016966703127e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -1.715425971637076509e+04 -1.716028993065745817e+04
-1.716028993065745817e+04 4.261986377525503258e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -1.681037194340059432e+04 -1.681640465768728609e+04
-1.681640465768728609e+04 3.796584052384813504e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -1.670513708519564898e+04 -1.671117229948233944e+04
-1.671117229948233944e+04 1.240753379411065112e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -1.664322036382357692e+04 -1.664925807811026971e+04
-1.664925807811026971e+04 1.428136523702654017e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -1.619383950412525155e+04 -1.619987971841194303e+04
-1.619987971841194303e+04 3.004447172572604927e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -1.604259657153214903e+04 -1.604863928581884102e+04
-1.604863928581884102e+04 1.682489408360395373e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -1.598500788770980398e+04 -1.599105310199649466e+04
-1.599105310199649466e+04 5.585837353296524554e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -1.589141889733503376e+04 -1.589746661162172495e+04
-1.589746661162172495e+04 2.556875990071767291e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -1.581213549351087568e+04 -1.581818570779756737e+04
-1.581818570779756737e+04 3.424813765030788915e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.549428147770194300e+04 -1.550033419198863521e+04
-1.550033419198863521e+04 1.734499953002279540e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -1.510759008473651011e+04 -1.511364529902320101e+04
-1.511364529902320101e+04 3.048406992143559364e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -1.506890840443681191e+04 -1.507496611872350331e+04
-1.507496611872350331e+04 2.862780246467800680e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -1.489072807788246246e+04 -1.489678829216915437e+04
-1.489678829216915437e+04 1.672521204815463420e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -1.484054877865420167e+04 -1.484661149294089228e+04
-1.484661149294089228e+04 8.322115654179070532e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -1.482625424940992525e+04 -1.483231946369661637e+04
-1.483231946307567523e+04 1.774656793817218059e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -1.472059994421473675e+04 -1.472666765850142838e+04
-1.472666765850142838e+04 6.214675679447096712e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.452202507873095965e+04 -1.452809529301765178e+04
-1.452809529301765178e+04 1.044656004330932717e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -1.415659477267698276e+04 -1.416266748696367358e+04
-1.416266748696367358e+04 1.579419166154995935e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -1.406132033155504359e+04 -1.406739554584173493e+04
-1.406739554584173493e+04 3.544013643386052337e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -1.374362176762064519e+04 -1.374969948190733703e+04
-1.374969948190733703e+04 1.371348126677481787e+02 -8.750000000000003608e-02 4.000000000000000000e+02 -1.352839124858526338e+04 -1.353447146287195392e+04
-1.353447146287195392e+04 1.573408563602422419e+02 -9.000000000000003830e-02 4.000000000000000000e+02 -1.348387791612506589e+04 -1.348996063041175694e+04
-1.348996063041175694e+04 6.922455426887377428e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -1.299199655731797247e+04 -1.299808177160466403e+04
-1.299808177160466403e+04 2.383419299294894529e+02 -9.500000000000004274e-02 4.000000000000000000e+02 -1.295626785582810771e+04 -1.296235557011479978e+04
-1.296235557011479978e+04 1.439063226309639276e+02 -9.750000000000004496e-02 4.000000000000000000e+02 -1.289829199452259490e+04 -1.290438220880928566e+04
-1.290438220880928566e+04 3.060079725361391922e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -1.268566299583179352e+04 -1.269175571011848479e+04
-1.269175571011848479e+04 1.346596296423384160e+02 -1.025000000000000494e-01 4.000000000000000000e+02 -1.265378309291180449e+04 -1.265987830719849626e+04
-1.265987830719849626e+04 1.033041515451351415e+02 -1.050000000000000516e-01 4.000000000000000000e+02 -1.244255937300670666e+04 -1.244865708729339713e+04
-1.244865708729339713e+04 1.030376275193126219e+02 -1.075000000000000538e-01 4.000000000000000000e+02 -1.242470735300740125e+04 -1.243080756729409222e+04
-1.243080756727638982e+04 8.662485732719170883e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -1.237514038352065472e+04 -1.238124309780734620e+04
-1.238124309780734620e+04 2.479357275571509334e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -1.222636336309447324e+04 -1.223246857738116523e+04
-1.223246857738116523e+04 8.005012844294481056e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -1.200353513875640783e+04 -1.200964285304309851e+04
-1.200964285304309851e+04 9.670988664460747941e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -1.191376810592024594e+04 -1.191987832020693713e+04
-1.191987832020693713e+04 8.778947660959518373e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -1.191281618091021664e+04 -1.191892889519690834e+04
-1.191860177840083452e+04 8.658724048361928283e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -1.186252501737594321e+04 -1.186864023166263541e+04
-1.186864023166263541e+04 2.337809630192004562e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -1.184977282931633272e+04 -1.185589054360302362e+04
-1.185589054069980193e+04 1.670924943952111263e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -1.182627768986314732e+04 -1.183239790414983872e+04
-1.183239790414977688e+04 1.597351279634721699e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -1.174720622043300136e+04 -1.175332893471969328e+04
-1.175332893471969328e+04 4.729403342439503177e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -1.172239567976985199e+04 -1.172852089405654260e+04
-1.172852089405652623e+04 4.596276450532976554e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -1.161556302082965340e+04 -1.162169073511634451e+04
-1.162169073511634451e+04 4.565211815426479802e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -1.154141698698791151e+04 -1.154754720127460314e+04
-1.154754720127460314e+04 4.945445074949923736e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -1.148240129170154978e+04 -1.148853400598824192e+04
-1.148853400598824192e+04 2.806393074819241562e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -1.148216432695888398e+04 -1.148829954124557480e+04
-1.148771677040461145e+04 2.269198094189132320e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -1.140201251935419714e+04 -1.140815023364088847e+04
-1.140815023364088847e+04 3.916250767570215885e+01 -1.475000000000000755e-01 4.000000000000000000e+02 -1.137539738708083860e+04 -1.138153760136753044e+04
-1.138153760136752680e+04 3.857957025681899665e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -1.128375516640223941e+04 -1.128989788068892994e+04
-1.128989788068892994e+04 7.209422293450556651e+01 -1.525000000000000799e-01 4.000000000000000000e+02 -1.122195134591692113e+04 -1.122809656020361217e+04
-1.122809656020361217e+04 5.209596597766982029e+01 -1.550000000000000822e-01 4.000000000000000000e+02 -1.120248589480111877e+04 -1.120863360908781033e+04
-1.120863360908428331e+04 8.771431422633318320e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -1.114922180918129925e+04 -1.115537202346799131e+04
-1.115537202346799131e+04 2.805552343616124844e+01 -1.600000000000000866e-01 4.000000000000000000e+02 -1.114781988367024678e+04 -1.115397259795693753e+04
-1.115375206687766149e+04 2.006240281677662907e+01 -1.625000000000000888e-01 4.000000000000000000e+02 -1.054520540342861750e+04 -1.055136061771530876e+04
-1.055136061771530876e+04 3.082682247896347008e+02 -1.650000000000000910e-01 4.000000000000000000e+02 -1.049965960959303447e+04 -1.050581732387972625e+04
-1.050581732387972625e+04 3.070941499606017260e+02 -1.675000000000000933e-01 4.000000000000000000e+02 -1.027431456019579127e+04 -1.028047477448248173e+04
-1.028047477448248173e+04 2.435394446175992869e+02 -1.700000000000000955e-01 4.000000000000000000e+02 -1.005902106034137978e+04 -1.006518377462807075e+04
-1.006518377462807075e+04 1.363731205757972873e+02 -1.725000000000000977e-01 4.000000000000000000e+02 -9.893530241686987210e+03 -9.899695455973678690e+03
